operation_id,last_updated,mint_name,mint_first_seen,mint_last_seen,mint_latest_status,mint_dry_runs,mint_runs,ritual,ritual_total,ritual_completed,ritual_dry_runs,event_index,event_timestamp,event_status,event_dry_run,event_metadata
alfa-1760288351-47fe5f74,2025-10-13T13:41:15.115199+00:00,order-2025-10-12-006-dryrun,2025-10-12T16:59:11.307625+00:00,2025-10-12T16:59:11.307625+00:00,draft,1,0,drill,1,0,1,0,2025-10-13T13:39:24.656237+00:00,dry_run,True,"{""batch_id"": ""alfa-1760288351-47fe5f74"", ""dry_run"": true, ""metrics"": {}, ""notes"": ""quilt integration dry run""}"
alfa-1760288351-47fe5f74,2025-10-13T13:41:15.115199+00:00,order-2025-10-12-006-dryrun,2025-10-12T16:59:11.307625+00:00,2025-10-12T16:59:11.307625+00:00,draft,1,0,parade,1,1,0,0,2025-10-13T13:40:42.085022+00:00,completed,False,"{""batch_id"": ""alfa-1760288351-47fe5f74"", ""display"": ""prototype display"", ""dry_run"": false, ""metrics"": {}}"
alfa-1760288351-47fe5f74,2025-10-13T13:41:15.115199+00:00,order-2025-10-12-006-dryrun,2025-10-12T16:59:11.307625+00:00,2025-10-12T16:59:11.307625+00:00,draft,1,0,promote,1,1,0,0,2025-10-13T13:41:15.115199+00:00,completed,False,"{""batch_id"": ""alfa-1760288351-47fe5f74"", ""destination"": ""archives"", ""dry_run"": false, ""metrics"": {}}"
alfa-1760288351-47fe5f74,2025-10-13T13:41:15.115199+00:00,order-2025-10-12-006-dryrun,2025-10-12T16:59:11.307625+00:00,2025-10-12T16:59:11.307625+00:00,draft,1,0,purge,1,0,1,0,2025-10-13T13:40:53.883710+00:00,dry_run,True,"{""batch_id"": ""alfa-1760288351-47fe5f74"", ""dry_run"": true, ""metrics"": {}, ""reason"": ""prototype archived""}"
alfa-1760719553-00000001,2025-10-17T16:45:53.440871+00:00,order020_alfa_1,2025-10-17T16:45:53.440871+00:00,2025-10-17T16:45:53.440871+00:00,minted,0,1,,0,0,0,0,,,,{}
alfa-1760719553-00000002,2025-10-17T16:45:53.510239+00:00,order020_alfa_2,2025-10-17T16:45:53.510239+00:00,2025-10-17T16:45:53.510239+00:00,minted,0,1,,0,0,0,0,,,,{}
alfa-1760719553-00000003,2025-10-17T16:45:53.577246+00:00,order020_alfa_3,2025-10-17T16:45:53.577246+00:00,2025-10-17T16:45:53.577246+00:00,minted,0,1,,0,0,0,0,,,,{}
alfa-1760719553-00000004,2025-10-17T16:45:53.643772+00:00,order020_alfa_4,2025-10-17T16:45:53.643772+00:00,2025-10-17T16:45:53.643772+00:00,minted,0,1,,0,0,0,0,,,,{}
alfa-1760719553-00000005,2025-10-17T16:45:53.710511+00:00,order020_alfa_5,2025-10-17T16:45:53.710511+00:00,2025-10-17T16:45:53.710511+00:00,minted,0,1,,0,0,0,0,,,,{}
alfa-1760719553-00000006,2025-10-17T16:45:53.774218+00:00,order020_alfa_6,2025-10-17T16:45:53.774218+00:00,2025-10-17T16:45:53.774218+00:00,minted,0,1,,0,0,0,0,,,,{}
alfa-1760719553-00000007,2025-10-17T16:45:53.840765+00:00,order020_alfa_7,2025-10-17T16:45:53.840765+00:00,2025-10-17T16:45:53.840765+00:00,minted,0,1,,0,0,0,0,,,,{}
alfa-1760719553-00000008,2025-10-17T16:45:53.897794+00:00,order020_alfa_8,2025-10-17T16:45:53.897794+00:00,2025-10-17T16:45:53.897794+00:00,minted,0,1,,0,0,0,0,,,,{}
alfa-1760721354-6132f38c,2025-10-17T17:15:54.065198+00:00,canary_batch_c1_alfa_01,2025-10-17T17:15:54.065198+00:00,2025-10-17T17:15:54.065198+00:00,minted,0,1,,0,0,0,0,,,,{}
alfa-1760721382-0cc23c9b,2025-10-17T17:16:22.913951+00:00,canary_batch_c1_alfa_02,2025-10-17T17:16:22.913951+00:00,2025-10-17T17:16:22.913951+00:00,minted,0,1,,0,0,0,0,,,,{}
alfa-1760721390-3e474718,2025-10-17T17:16:30.579688+00:00,canary_batch_c1_alfa_03,2025-10-17T17:16:30.579688+00:00,2025-10-17T17:16:30.579688+00:00,minted,0,1,,0,0,0,0,,,,{}
alfa-1760721470-19d09f09,2025-10-17T17:17:50.641650+00:00,canary_batch_b1_alfa_01,2025-10-17T17:17:50.641650+00:00,2025-10-17T17:17:50.641650+00:00,minted,0,1,,0,0,0,0,,,,{}
alfa-1760721475-3e07cfb0,2025-10-17T17:17:55.941982+00:00,canary_batch_b1_alfa_02,2025-10-17T17:17:55.941982+00:00,2025-10-17T17:17:55.941982+00:00,minted,0,1,,0,0,0,0,,,,{}
